result,p11spw,p11sp,p12spw,p1net,p1error,p21spw,p2sp,p22spw,p2net,p2error
0,0.82,0.7,0.74,0.86,14,0.59,0.59,0.4,0.5,23
0,0.68,0.67,0.63,0.67,34,0.51,0.64,0.36,0.67,34
1,0.72,0.63,0.42,0.44,42,0.71,0.76,0.58,0.81,45
1,0.55,0.71,0.53,0.47,37,0.84,0.6,0.69,0.77,18
1,0.7,0.62,0.39,0.61,44,0.72,0.62,0.52,0.74,33
0,0.68,0.73,0.54,0.64,35,0.69,0.68,0.34,0.56,48
0,0.71,0.61,0.66,0.69,32,0.61,0.63,0.44,0.8,63
1,0.74,0.5,0.58,0.79,39,0.81,0.62,0.6,0.79,35
0,0.78,0.57,0.42,0.7,49,0.64,0.58,0.48,0.86,37
1,0.66,0.5,0.45,0.53,40,0.75,0.68,0.69,0.55,37
0,0.83,0.62,0.56,0.65,12,0.56,0.73,0.29,0.67,31
1,0.65,0.57,0.51,0.53,29,0.8,0.64,0.77,0.86,15
0,0.68,0.73,0.62,0.64,23,0.66,0.65,0.5,0.63,26
1,0.63,0.58,0.3,0.58,33,0.83,0.64,0.54,0.88,20
0,0.69,0.67,0.6,0.8,35,0.46,0.61,0.46,0.55,53
1,0.62,0.57,0.57,0.67,46,0.74,0.71,0.38,0.77,73
0,0.77,0.68,0.7,0.88,28,0.68,0.63,0.67,0.58,34
1,0.62,0.6,0.49,0.55,53,0.82,0.58,0.55,0.52,48
1,0.7,0.51,0.33,0.71,33,0.81,0.61,0.67,0.5,15
1,0.72,0.66,0.5,0.77,56,0.64,0.64,0.6,0.63,54
0,0.67,0.7,0.56,0.52,50,0.67,0.6,0.38,0.66,43
0,0.65,0.61,0.44,0.64,69,0.67,0.61,0.36,0.5,29
1,0.71,0.52,0.47,0.73,63,0.69,0.62,0.51,0.75,51
1,0.48,0.74,0.4,0.47,23,0.83,0.56,0.52,0.72,24
0,0.71,0.64,0.58,0.61,21,0.59,0.63,0.33,0.33,28
0,0.76,0.64,0.45,0.5,31,0.66,0.64,0.38,0.63,48
0,0.74,0.64,0.44,0.76,62,0.61,0.67,0.64,0.5,34
1,0.7,0.63,0.55,0.75,20,0.92,0.6,0.62,0.67,20
1,0.61,0.7,0.42,0.57,58,0.75,0.72,0.58,0.62,16
0,0.78,0.69,0.52,0.63,43,0.82,0.57,0.64,0.78,20
0,0.71,0.67,0.64,0.62,31,0.68,0.64,0.36,0.66,70
1,0.66,0.65,0.5,0.78,41,0.74,0.69,0.63,0.8,21
0,0.91,0.61,0.67,0.77,20,0.67,0.66,0.43,0.78,29
1,0.53,0.67,0.4,0.7,34,0.8,0.81,0.54,0.67,15
0,0.67,0.69,0.62,0.6,25,0.53,0.56,0.46,0.6,37
0,0.66,0.71,0.74,0.67,44,0.67,0.55,0.52,0.73,62
0,0.77,0.62,0.7,0.86,40,0.69,0.6,0.62,0.72,25
1,0.77,0.61,0.47,0.46,61,0.74,0.67,0.62,0.76,27
1,0.63,0.6,0.47,0.6,28,0.75,0.67,0.47,0.76,30
1,0.56,0.72,0.28,0.8,34,0.87,0.58,0.39,0.67,36
1,0.69,0.68,0.5,0.71,34,0.76,0.58,0.54,0.64,36
1,0.7,0.48,0.49,0.47,43,0.74,0.58,0.56,0.72,23
1,0.56,0.6,0.35,0.56,33,0.74,0.59,0.59,0.58,25
1,0.62,0.65,0.3,0.7,74,0.63,0.72,0.32,0.67,47
0,0.72,0.6,0.53,0.76,60,0.63,0.62,0.48,0.48,37
0,0.8,0.73,0.57,0.7,18,0.78,0.47,0.28,0.69,55
1,0.62,0.5,0.4,0.63,39,0.72,0.57,0.58,0.71,29
1,0.63,0.64,0.42,0.68,26,0.85,0.74,0.61,0.83,15
0,0.71,0.63,0.48,0.55,18,0.63,0.44,0.33,0.67,39
0,0.76,0.62,0.59,0.77,22,0.61,0.56,0.44,0.71,42
0,0.82,0.63,0.47,0.74,50,0.69,0.61,0.7,0.7,39
1,0.63,0.68,0.46,0.44,31,0.74,0.64,0.54,0.44,33
0,0.85,0.56,0.72,0.9,20,0.63,0.54,0.5,0.71,45
0,0.8,0.61,0.62,1,17,0.61,0.62,0.32,0.63,27
0,0.89,0.46,0.55,0.72,43,0.63,0.55,0.54,0.57,36
0,0.68,0.65,0.47,0.71,63,0.65,0.64,0.52,0.54,50
1,0.57,0.63,0.42,0.25,43,0.75,0.64,0.76,1,25
1,0.62,0.72,0.5,0.63,22,0.84,0.6,0.59,0.79,23
1,0.52,0.58,0.47,0.68,48,0.59,0.63,0.49,0.57,44
1,0.68,0.61,0.44,0.82,63,0.73,0.67,0.5,0.71,40
0,0.82,0.57,0.48,0.85,12,0.38,0.63,0.39,0.33,23
0,0.72,0.57,0.57,0.54,44,0.71,0.6,0.54,0.72,56
0,0.56,0.68,0.51,0.63,28,0.6,0.57,0.35,0.61,56
1,0.56,0.57,0.42,0.57,34,0.83,0.69,0.62,0.64,16
0,0.82,0.67,0.55,0.8,24,0.64,0.61,0.41,0.42,35
0,0.67,0.78,0.59,0.79,35,0.67,0.56,0.35,0.45,42
0,0.82,0.54,0.5,0.69,58,0.63,0.7,0.52,0.59,33
1,0.66,0.66,0.45,0.59,45,0.78,0.6,0.7,0.67,27
0,0.62,0.72,0.65,0.8,35,0.68,0.65,0.42,0.61,28
1,0.72,0.51,0.31,0.14,20,0.88,0.63,0.52,0.88,12
0,0.78,0.75,0.74,0.73,17,0.65,0.65,0.5,0.64,47
1,0.55,0.72,0.65,0.6,23,0.83,0.66,0.5,0.74,43
0,0.83,0.64,0.49,0.6,16,0.79,0.59,0.38,0.58,50
0,0.79,0.62,0.65,0.85,20,0.61,0.61,0.52,0.85,21
1,0.71,0.68,0.44,0.47,42,0.7,0.68,0.43,0.66,45
1,0.69,0.56,0.42,0.75,39,0.8,0.65,0.45,0.64,25
0,0.71,0.67,0.51,0.63,41,0.65,0.62,0.54,0.89,45
0,0.62,0.64,0.56,0.57,67,0.67,0.6,0.51,0.58,63
0,0.82,0.8,0.8,0.82,5,0.76,0.65,0.47,0.53,42
1,0.65,0.65,0.43,0.45,37,0.8,0.57,0.41,0.79,65
0,0.71,0.63,0.57,0.6,34,0.59,0.73,0.38,0.5,44
1,0.68,0.67,0.4,0.7,42,0.63,0.7,0.49,0.78,53
0,0.73,0.57,0.64,0.55,22,0.67,0.56,0.29,0.73,27
0,0.77,0.64,0.47,0.82,45,0.72,0.53,0.56,0.55,58
0,0.62,0.53,0.68,0.74,32,0.62,0.65,0.41,0.46,23
0,0.82,0.6,0.46,0.7,56,0.65,0.67,0.55,0.77,33
1,0.65,0.64,0.46,0.6,38,0.77,0.63,0.61,0.62,20
1,0.7,0.51,0.58,0.8,22,0.76,0.76,0.75,0.74,24
0,0.71,0.69,0.53,0.71,39,0.68,0.61,0.45,0.72,50
1,0.74,0.59,0.62,0.67,18,0.79,0.66,0.61,0.82,18
1,0.6,0.56,0.34,0.56,34,0.76,0.68,0.61,0.76,23
0,0.69,0.5,0.54,0.72,75,0.62,0.67,0.46,0.59,56
0,0.79,0.6,0.67,0.64,31,0.69,0.54,0.47,0.76,33
0,0.55,0.73,0.59,0.79,37,0.53,0.67,0.47,0.57,40
0,0.76,0.66,0.57,0.76,29,0.55,0.71,0.41,0.59,38
1,0.57,0.64,0.26,0.6,20,0.74,0.64,0.62,0.67,23
0,0.85,0.69,0.52,0.7,32,0.57,0.69,0.44,0.77,29
0,0.76,0.51,0.57,0.6,38,0.81,0.56,0.49,0.61,53
0,0.7,0.51,0.47,0.6,55,0.63,0.61,0.38,0.59,39
1,0.62,0.7,0.49,0.62,41,0.73,0.62,0.34,0.78,55
0,0.77,0.63,0.52,0.79,24,0.64,0.64,0.4,0.47,48
1,0.59,0.7,0.34,0.63,54,0.76,0.53,0.62,0.47,20
0,0.8,0.66,0.5,0.53,24,0.49,0.61,0.45,0.44,32
1,0.59,0.65,0.38,0.8,32,0.8,0.71,0.55,0.64,16
0,0.74,0.6,0.51,0.65,55,0.65,0.65,0.52,0.67,54
0,0.77,0.51,0.6,0.69,60,0.69,0.69,0.53,0.75,34
1,0.7,0.59,0.48,0.52,44,0.79,0.6,0.63,0.65,37
1,0.67,0.68,0.32,0.46,26,0.8,0.62,0.51,0.78,36
0,0.7,0.66,0.5,0.71,48,0.64,0.6,0.49,0.68,64
1,0.68,0.68,0.52,0.67,18,0.78,0.54,0.58,0.62,37
0,0.67,0.54,0.53,0.6,52,0.65,0.7,0.55,0.68,56
1,0.63,0.6,0.52,0.59,35,0.79,0.58,0.7,0.83,21
0,0.86,0.62,0.69,0.76,12,0.72,0.51,0.41,0.68,19
1,0.7,0.65,0.49,0.72,53,0.7,0.7,0.54,0.61,34
0,0.8,0.6,0.62,0.65,14,0.67,0.62,0.42,0.6,33
0,0.75,0.59,0.55,0.79,35,0.71,0.66,0.36,0.67,48
1,0.74,0.68,0.47,0.68,48,0.71,0.62,0.51,0.71,55
1,0.62,0.52,0.48,0.75,31,0.83,0.67,0.7,0.7,19
0,0.68,0.65,0.48,0.71,57,0.72,0.54,0.39,0.63,79
1,0.64,0.57,0.37,0.36,30,0.74,0.71,0.59,0.71,25
0,0.8,0.64,0.52,0.72,18,0.66,0.69,0.35,0.46,40
0,0.8,0.63,0.63,0.82,12,0.61,0.68,0.44,0.65,37
1,0.72,0.66,0.47,0.38,61,0.78,0.63,0.58,0.68,49
1,0.44,0.73,0.5,0.7,30,0.76,0.72,0.53,0.89,22
1,0.62,0.75,0.48,0.49,53,0.65,0.69,0.59,0.9,60
1,0.62,0.59,0.39,0.49,34,0.68,0.82,0.56,0.45,19
1,0.58,0.7,0.5,0.8,38,0.73,0.74,0.64,0.85,31
0,0.74,0.6,0.61,0.6,22,0.42,0.67,0.33,0.59,27
1,0.6,0.78,0.4,0.57,17,0.82,0.55,0.48,0.71,27
0,0.63,0.66,0.45,0.69,55,0.55,0.67,0.43,0.66,69
0,0.66,0.6,0.55,0.62,51,0.7,0.62,0.51,0.7,77
0,0.73,0.61,0.57,0.68,47,0.61,0.53,0.6,0.61,25
1,0.72,0.66,0.33,0.34,45,0.71,0.73,0.56,0.81,31
0,0.76,0.75,0.62,0.79,23,0.67,0.62,0.38,0.71,46
0,0.64,0.6,0.49,0.63,40,0.78,0.72,0.44,0.47,22
0,0.67,0.66,0.56,0.79,19,0.59,0.59,0.36,0.69,49
1,0.65,0.62,0.36,0.53,33,0.78,0.6,0.61,0.75,23
0,0.71,0.67,0.5,0.71,67,0.63,0.63,0.54,0.66,56
1,0.6,0.57,0.32,0.65,33,0.67,0.69,0.56,0.55,28
0,0.71,0.58,0.57,0.57,61,0.68,0.56,0.5,0.59,52
0,0.71,0.59,0.57,0.7,29,0.57,0.56,0.52,0.58,40
0,0.82,0.72,0.63,0.5,16,0.76,0.66,0.5,0.8,36
1,0.6,0.53,0.43,0.52,45,0.78,0.58,0.74,0.5,18
1,0.64,0.6,0.48,0.58,0.51,0.69,0.55,0.49,0.7,49
1,0.64,0.53,0.36,0.33,51,0.68,0.56,0.72,1,26
1,0.68,0.6,0.47,0.71,86,0.65,0.67,0.54,0.66,47
0,0.78,0.68,0.71,0.75,15,0.62,0.54,0.65,0.64,38
0,0.71,0.73,0.61,0.58,35,0.62,0.67,0.47,0.76,48
0,0.6,0.7,0.3,0.83,30,0.75,0.69,0.56,0.67,19
1,0.58,0.48,0.56,0.59,33,0.69,0.61,0.57,0.7,40
1,0.75,0.6,0.46,0.56,62,0.77,0.58,0.61,0.5,20
0,0.6,0.69,0.49,0.71,65,0.58,0.53,0.41,0.47,46
1,0.5,0.53,0.27,0.4,44,0.76,0.81,0.9,0.89,9
0,0.69,0.65,0.71,0.79,23,0.53,0.67,0.33,0.56,32
1,0.55,0.6,0.34,0.47,43,0.067,0.52,0.52,0.72,41
1,0.57,0.69,0.41,0.65,60,0.66,0.58,0.53,0.69,62
0,0.8,0.52,0.6,0.48,29,0.68,0.65,0.46,0.72,53
1,0.61,0.56,0.42,0.58,59,0.8,0.63,0.49,0.5,22
1,0.73,0.71,0.43,0.7,21,0.73,0.72,0.42,0.57,49
0,0.64,0.69,0.33,0.6,58,0.78,0.52,0.4,0.58,48
1,0.62,0.68,0.44,0.63,47,0.1,0.65,0.53,0.75,34
1,0.56,0.6,0.38,0.56,44,0.76,0.6,0.57,0.73,21
1,0.059,0.67,0.52,0.83,65,0.72,0.59,0.38,0.54,46
1,0.71,0.63,0.41,0.76,46,0.79,0.57,0.57,0.71,28
0,0.65,0.69,0.44,0.69,58,0.66,0.59,0.43,0.69,89
1,0.68,0.72,0.52,0.67,88,0.063,0.65,0.45,0.44,96
1,0.44,0.61,0.3,0.3,35,0.68,0.62,0.47,0.8,28
